Year,URL,Date,Competition,Opponent,Goals Scored,Goals Received,Attendance,Month,DOW,Result
2023,https://www.houstondynamofc.com/competitions/u-s-open-cup/2023/matches/houvsrsl-08-23-2023,Wednesday August 23 2023,U.S. Open Cup,Salt Lake,3.0,1.0,11137.0,August,Wednesday,W
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsclb-08-30-2023,Wednesday August 30 2023,MLS Regular Season,Columbus,2.0,0.0,10873.0,August,Wednesday,W
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsvan-09-20-2023,Wednesday September 20 2023,MLS Regular Season,Vancouver,4.0,1.0,13866.0,September,Wednesday,W
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsdal-09-30-2023,Saturday September 30 2023,MLS Regular Season,Dallas,0.0,0.0,18175.0,September,Saturday,D
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvscol-10-07-2023,Saturday October 7 2023,MLS Regular Season,Colorado,5.0,1.0,16430.0,October,Saturday,W
2023,https://www.houstondynamofc.com/competitions/mls-cup-playoffs/2023/matches/houvsrsl-10-29-2023,Sunday October 29 2023,Audi 2024 MLS Cup Playoffs,Salt Lake,2.0,1.0,17508.0,October,Sunday,W
2023,https://www.houstondynamofc.com/competitions/mls-cup-playoffs/2023/matches/houvsrsl-11-11-2023,Saturday November 11 2023,Audi 2024 MLS Cup Playoffs,Salt Lake,1.0,1.0,16374.0,November,Saturday,D
2024,https://www.houstondynamofc.com/competitions/mls-regular-season/2024/matches/houvsskc-02-24-2024,Saturday February 24,MLS Regular Season,Kansas City,1.0,1.0,18818.0,February,Saturday,D
2024,https://www.houstondynamofc.com/competitions/concacaf-champions-league/2024/matches/houvsstl-02-27-2024,Tuesday February 27,CONCACAF Champions Cup,St. Louis,1.0,0.0,18818.0,February,Tuesday,W
2024,https://www.houstondynamofc.com/competitions/mls-regular-season/2024/matches/houvsrbny-03-02-2024,Saturday March 2,MLS Regular Season,New York,1.0,2.0,16516.0,March,Saturday,L
2024,https://www.houstondynamofc.com/competitions/concacaf-champions-league/2024/matches/houvsclb-03-06-2024,Wednesday March 6,CONCACAF Champions Cup,Columbus,0.0,1.0,16234.0,March,Wednesday,L
